1,暮雪,靴下,3,A,,,A,,S,,S,S,,
2,ふわふわ雲ソックス(青),靴下,3,S,,,A,,A,,A,S,,小花柄
3,ふわふわ雲ソックス(ピンク),靴下,3,A,,,A,,S,,A,S,,小花柄
4,ふわふわ雲ソックス(白),靴下,3,A,,,A,,A,,S,A,,小花柄
5,天真爛漫,靴下,2,A,,,A,,A,,A,A,,
6,スクールソックス(青),靴下,2,,B,,A,,S,,A,,B,中性風 英国風
7,スクールソックス(茶),靴下,2,,A,,A,,A,,A,,B,中性風 英国風
8,英国風スタイル(茶),靴下,4,S,,B,,,B,,SS,S,,中性風 英国風
9,英国風スタイル(白),靴下,4,A,,S,,,S,,S,S,,中性風 英国風
10,英国風スタイル(青),靴下,4,A,,,S,,A,,S,A,,中性風 英国風
11,英国風スタイル(ピンク),靴下,4,S,,S,,B,,,S,S,,中性風 英国風
12,白猫物語,靴下,4,S,,,S,,A,,B,SS,,
13,金猫物語,靴下,4,S,,,S,,A,S,,S,,
14,虎猫物語,靴下,4,A,,,A,,S,A,,S,,
15,ハニースター,靴下,5,S,,A,,,SS,A,,S,,
16,ミントスター,靴下,5,S,,A,,,S,S,,S,,
17,ナイトスター,靴下,5,S,,A,,,S,S,,S,,
18,テディの足あと(茶),靴下,3,,A,,S,,A,,A,A,,
19,テディの足あと(青),靴下,3,,A,,S,,S,,A,A,,
20,テディの足あと(黒),靴下,3,,A,,S,,A,,A,A,,
21,薔薇柄ソックス,靴下,4,A,,A,,,S,,S,A,,
22,メカニカル,靴下,5,S,,S,,,A,S,,S,,中世ヨーロッパ風
23,若熟女の気分,靴下,5,S,,,A,,A,SS,,S,,中世ヨーロッパ風
24,黒ストライプ,靴下,2,,A,A,,,B,A,,S,,
25,グレーストライプ,靴下,2,,A,S,,C,,,S,,A,
26,ピンクと白のストライプ,靴下,2,,A,,B,,S,,A,,A,
27,ブルーと白のストライプ,靴下,2,,A,S,,,A,,A,,B,
28,ドット柄(ピンク),靴下,3,A,,,A,,S,,A,,A,
29,ドット柄(黄),靴下,3,A,,,A,,S,,S,,A,
30,ドット柄(紫),靴下,3,A,,,A,,A,,S,,A,
31,ドット柄(青),靴下,3,A,,,A,,A,,S,,A,
32,冬用綿ソックス(ベージュ),靴下,3,A,,,A,,S,,S,A,,
33,冬用綿ソックス(青),靴下,3,A,,,A,,S,,S,S,,
34,冬用綿ソックス(ピンク),靴下,3,S,,,A,,S,,S,A,,
35,地味なストッキング,靴下,2,,A,S,,A,,A,,,A,OL
36,コンチェルト,靴下,2,,A,S,,,C,,S,A,,
37,ナースストッキング,靴下,3,,A,A,,,S,,A,,A,メディカル
38,軒和,靴下,3,,S,A,,S,,,A,A,,和風
39,落花,靴下,3,,S,B,,,S,,S,S,,和風
40,バニラシェイク,靴下,3,A,,,A,,S,,S,A,,メイド
41,R-バニラシェイク,靴下,4,A,,,A,,A,,S,S,,メイド
42,SR-バニラシェイク,靴下,5,S,,,S,,S,,B,SS,,メイド
43,海の花,靴下,3,S,,S,,A,,A,,C,,モダンチャイナ
44,R-海の花,靴下,4,S,,SS,,S,,S,,C,,モダンチャイナ
45,SR-海の花,靴下,5,SS,,SS,,S,,S,,B,,モダンチャイナ
46,ワイルド,靴下,3,S,,,S,A,,A,,,A,ロック
47,森系レッグウォーマー,靴下・ガーター,4,,A,,A,,S,,S,S,,森ガール
48,トナカイソックス,靴下,4,A,,,A,,A,,S,A,,森ガール
49,アリスの靴下,靴下,4,,S,,S,,S,,A,S,,
50,吸血鬼の花芯,靴下,4,,B,A,,S,,S,,,S,
51,ビクトリアの秘密,靴下,4,B,,,B,S,,S,,,SS,ゴシック OL
52,女王の誘惑,靴下,3,A,,A,,A,,S,,,A,ゴシック
53,月下の騎士,靴下,5,S,,SS,,S,,S,,B,,メルヘン
54,ガーターセット,靴下,4,S,,B,,S,,SS,,,S,
55,魔花,靴下,4,B,,S,,S,,S,,S,,ゴシック
56,ドール,靴下,4,,A,S,,A,,S,,A,,ゴシック OL
57,オーバーニーソックス,靴下,2,,A,S,,B,,,A,A,,
58,スポーツソックス,靴下,1,,B,,A,,B,,A,A,,英国風
59,シャボン玉ハート,靴下,3,A,,,A,,A,,A,S,,
60,メイド用靴下,靴下,4,S,,,S,,S,S,,S,,メイド
61,網タイツS,靴下,3,,S,,B,A,,S,,,S,ロック
62,網タイツM,靴下,3,,A,,A,S,,S,,,S,ロック
63,網タイツL,靴下,4,,S,B,,,S,S,,,S,ロック
64,レースタイツ,靴下,4,S,,,S,,S,,S,,B,小花柄
65,レースレギンス,靴下,3,S,,,S,,S,,A,,B,小花柄
66,極薄ストッキング,靴下,2,,S,A,,A,,A,,,C,
67,ノーマルストッキング,靴下,2,,S,A,,A,,A,,,C,
69,白ストッキング,靴下,2,,A,A,,,A,,A,,A,
83,ストライプニーソ(桃),靴下,3,B,,,S,,S,,S,,A,
84,ストライプニーソ(青),靴下,3,B,,,S,,S,,S,,S,
85,ストライプニーソ(赤),靴下,3,C,,,S,,S,,S,,A,
86,ストライプニーソ(黄),靴下,3,C,,,A,,S,,S,,A,
90,デザイナーの生命,靴下,4,,S,,B,A,,SS,,S,,OL
91,メッシュレース,靴下,4,S,,B,,B,,SS,,S,,OL
92,メッシュストッキング,靴下,3,S,,B,,S,,A,,,S,
93,SR-蘭の心,靴下,5,SS,,S,,,A,SS,,A,,クラシックチャイナ
94,SR-紫蘭の心,靴下,5,S,,A,,,B,S,,,SS,クラシックチャイナ
95,泡沫,靴下,3,A,,,S,,S,,A,,A,メルヘン
96,R-泡沫,靴下,5,S,,,S,,S,,S,,S,メルヘン
97,夜の楓,靴下,3,S,,,A,S,,A,,,A,
98,R-夜の楓,靴下,4,SS,,A,,S,,S,,,B,
99,SR-夜の楓,靴下,5,S,,A,,S,,S,,A,,
100,彼岸花の靴下,靴下,3,A,,S,,B,,S,,A,,和風
101,蘭の心,靴下,3,S,,A,,,S,S,,C,,
102,R-蘭の心,靴下,4,S,,A,,,S,SS,,B,,
103,雀黛,靴下・ガーター,5,A,,SS,,A,,S,,,S,
104,赤黛,靴下,4,S,,,S,,S,,B,S,,モダンチャイナ
105,赤ずきん,靴下,3,,A,,A,,S,,A,S,,メルヘン ロリータ
106,R-赤ずきん,靴下,4,,S,,S,,S,,S,,S,メルヘン ロリータ
107,SR-赤ずきん,靴下,5,S,,,A,,S,,S,,S,メルヘン ロリータ
108,ミント,靴下,3,,A,,A,,A,,S,A,,
109,グリーンティー,靴下,3,,A,,A,,S,,A,A,,
113,スクールソックス,靴下,1,,B,,A,,A,,B,,A,
114,舞姫のアンクレット,靴下・ガーター,4,S,,A,,,SS,,B,,S,ダンサー インド風
115,クリスマスココア,靴下,4,A,,,S,,S,,A,S,,冬服
116,メープルシロップ,靴下,4,S,,,S,,S,,S,A,,冬服
117,ハニーシロップ,靴下,4,S,,,A,,S,,S,S,,冬服
118,ホットチョコレート,靴下,4,S,,B,,,S,,S,S,,
120,プリンセスの舞踏会,靴下,3,A,,,A,,A,,S,S,,
121,花柄レース(ピンク),靴下,3,A,,A,,,S,,S,B,,
122,花柄レース(青),靴下,3,S,,S,,,B,,S,B,,
123,花柄レース(グレー),靴下,3,S,,S,,,A,,B,B,,
132,スイーツ,靴下,3,B,,,A,,A,,S,S,,
133,スイーツ(ピンク),靴下,3,C,,,A,,S,,S,A,,
134,スイーツ(紫),靴下,3,C,,,A,,S,,S,S,,
135,スイーツ(緑),靴下,3,C,,,A,,S,,S,A,,
136,幻夜,靴下,2,,A,A,,A,,A,,A,,
137,小皿,靴下,3,,A,,A,,A,,S,A,,
138,不思議の国のアリス,靴下,4,,A,,S,,S,,S,A,,メルヘン
139,アンカーストッキング,靴下,4,A,,,A,,S,,S,S,,
140,敬虔なる花-靴下,靴下,3,A,,,A,,S,,S,,A,
141,女子高中生ソックス,靴下,3,,A,,A,,S,,S,,A,英国風
142,生クリーム,靴下,3,,A,,A,,A,,S,A,,
143,レザーストッキング,靴下,4,S,,SS,,S,,A,,,A,英国風
144,スイーツハート-靴下,靴下,3,,A,,A,,A,,S,A,,ロリータ
145,花心,靴下,5,,C,,B,,A,,A,B,,ロリータ
146,星夜,靴下,5,A,,B,,,S,A,,S,,メルヘン
147,瑞雲,靴下,5,SS,,B,,,A,S,,B,,モダンチャイナ
149,ピンクバニー,靴下,4,A,,,S,,S,,A,S,,小動物
150,ロックンストッキング(青),靴下,3,S,,,A,C,,S,,S,,ロック
151,ロックンストッキング(黒),靴下,3,S,,B,,,B,A,,S,,ロック
156,紳士の嗜み(黒),靴下,2,,S,C,,S,,,A,,A,
157,紳士の嗜み(白),靴下,2,,S,C,,A,,,A,,A,
160,百花繚乱,靴下,3,A,,,S,A,,,A,A,,小花柄
161,オールドタイム,靴下,3,,A,,S,A,,,A,S,,小花柄
162,レトロ気分,靴下,3,S,,S,,S,,C,,S,,
165,リベットレッグガーター,靴下・ガーター,3,,A,,B,A,,S,,,S,ロック
166,フットプリント,靴下,3,,S,,A,,A,,A,S,,小動物
167,蝶のハイソックス,靴下,3,,A,,A,,A,,A,S,,
169,シックローズ,靴下,4,A,,,S,,S,S,,A,,ロリータ
171,アシスタント-靴下,靴下,3,A,,S,,,B,,A,S,,ロリータ
172,ルカのコンプレックス,靴下,4,S,,,S,,S,,S,B,,ロリータ
173,名門の貴公子,靴下,4,,S,S,,A,,,A,S,,中性風
174,銀河レッグガーター,靴下・ガーター,5,,C,C,,B,,B,,,B,
175,ツイストドーナツ,靴下,5,,B,S,,C,,,A,S,,
176,ツイストドーナツ(茶),靴下,4,,,,,,,,,,,
177,ツイストドーナツ(紫),靴下,4,,,,,,,,,,,
179,雪夜の歌,靴下,4,S,,S,,S,,S,,,C,
180,雪夜の賛歌,靴下,4,S,,S,,S,,S,,,B,
181,シースルーパンスト,靴下,4,,B,S,,,S,,S,,S,
182,白パンスト,靴下,5,,A,A,,,A,S,,,S,
183,ハートパンスト,靴下,2,,B,A,,S,,A,,,B,
184,十字架の跡,靴下,3,,S,B,,S,,S,,S,,
185,ノーマルストッキング,靴下,2,,C,A,,S,,A,,A,,
186,真・舞士,靴下,3,,S,B,,S,,S,,,B,
201,夢のような１日,靴下,5,,S,S,,,S,S,,S,,
202,おしゃれ靴下,靴下,5,B,,,A,,S,,A,,A,
203,黒い欲望,靴下,6,S,,S,,S,,SS,,,S,
204,雪白タイツ,靴下,5,S,,S,,,A,A,,,A,
206,ニットニーハイソックス,靴下,3,,S,,A,,B,,A,S,,エスニック
207,グレー水玉,靴下,3,,A,,S,,S,,A,B,,
208,絹雲,靴下,3,S,,A,,,S,,B,A,,
209,シルクハイソックス(黒),靴下,2,,B,S,,S,,,B,,B,
210,シルクハイソックス(白),靴下,2,,A,S,,S,,,B,,B,
211,月のさざ波,靴下・ガーター,5,,S,SS,,S,,,S,,A,クラシックチャイナ
212,ウールソックス,靴下,5,,SS,,A,,SS,,A,A,,
213,ソックスガーター,靴下,4,A,,SS,,,SS,,A,B,,
214,妖精のガーター,靴下・ガーター,3,A,,B,,S,,S,,,A,
215,R-精霊の足飾り,靴下・ガーター,4,S,,A,,A,,SS,,,A,
216,SR-精霊の足飾り,靴下・ガーター,5,S,,A,,A,,SS,,,S,
217,ウサギの最愛,靴下,4,,B,,B,,SS,,SS,A,,
218,R-ウサギの最愛,靴下,5,A,,S,,,A,SS,,S,,
219,ニットソックス(グレー),靴下,3,,A,S,,S,,,A,A,,
220,折り返しソックス,靴下,3,,S,,A,,B,,S,,B,
221,タロット,靴下・ガーター,3,,A,S,,B,,S,,,A,エスニック
222,R-タロット,靴下・ガーター,4,,S,,S,A,,A,,,A,エスニック
